Name,Household Income Total,Income 100000 to 124999,Income 125000 to 149999,Income 150000 to 199999,Income 200000 or more,Total Children Under 18y,Total Children Under 18 in Married,Total 5y,Total 6 to 11y,Total 12 to 17y,Total Children in Other Families,Total Children Under 18 w/Male Housholder,Total 5y w/Male Housholder,Total 6 to 11y w/Male Housholder,Total 12 to 17y w/Male Housholder,Total Children Under 18 w/Female Housholder,Total 5y w/Female Housholder,Total 6 to 11y w/Female Housholder,Total 12 to 17y w/Female Housholder,State,County,Tract
Census Tract 83.11; San Diego County; California,1083,80,91,98,567,504,433,8,145,211,71,11,0,11,0,60,0,40,0,06,073,008311
Census Tract 83.12; San Diego County; California,1628,104,166,147,504,618,484,36,131,222,134,10,0,10,0,124,0,40,84,06,073,008312
Census Tract 83.13; San Diego County; California,799,77,45,69,427,540,534,0,164,239,6,2,0,2,0,4,0,2,2,06,073,008313
Census Tract 83.24; San Diego County; California,2856,276,223,382,1454,1093,1016,69,273,277,77,58,0,0,58,19,0,19,0,06,073,008324
Census Tract 83.27; San Diego County; California,2415,145,224,381,923,1236,982,20,270,338,254,59,0,47,12,195,0,28,144,06,073,008327
Census Tract 83.28; San Diego County; California,2330,67,172,213,1327,2260,1812,18,639,732,448,116,0,17,70,332,0,132,200,06,073,008328
Census Tract 83.30; San Diego County; California,1745,246,137,270,619,1431,1208,36,733,141,223,31,14,17,0,192,0,94,64,06,073,008330
Census Tract 83.31; San Diego County; California,931,40,66,207,437,651,583,23,206,275,68,11,0,6,5,57,14,37,6,06,073,008331
Census Tract 83.36; San Diego County; California,700,61,67,184,245,453,427,41,160,176,26,6,0,0,6,20,0,7,13,06,073,008336
Census Tract 83.37; San Diego County; California,1491,151,159,267,563,1188,1188,23,344,529,0,0,0,0,0,0,0,0,0,06,073,008337
Census Tract 83.39; San Diego County; California,755,97,31,36,108,124,106,9,19,12,18,0,0,0,0,18,5,6,7,06,073,008339
Census Tract 83.43; San Diego County; California,1779,202,114,126,122,558,469,20,138,42,89,70,0,11,0,19,0,0,19,06,073,008343
Census Tract 83.44; San Diego County; California,1200,197,138,135,376,730,589,31,140,313,141,34,0,23,11,107,9,9,85,06,073,008344
Census Tract 83.45; San Diego County; California,1864,176,130,178,331,801,743,22,318,316,58,0,0,0,0,58,0,9,49,06,073,008345
Census Tract 83.46; San Diego County; California,1609,194,162,326,600,883,822,64,156,129,61,0,0,0,0,61,0,8,53,06,073,008346
Census Tract 83.47; San Diego County; California,2057,259,222,310,541,1222,1189,52,397,275,33,16,0,0,16,17,0,17,0,06,073,008347
Census Tract 83.48; San Diego County; California,1629,202,193,285,269,646,579,56,244,109,67,67,0,25,42,0,0,0,0,06,073,008348
Census Tract 83.49; San Diego County; California,1067,131,172,133,202,585,531,100,139,80,54,44,29,0,15,10,0,0,7,06,073,008349
Census Tract 83.50; San Diego County; California,2131,297,195,414,296,1295,1087,44,149,348,208,27,0,13,14,181,0,88,36,06,073,008350
Census Tract 83.51; San Diego County; California,1369,243,99,383,126,766,750,8,200,263,16,0,0,0,0,16,0,0,7,06,073,008351
Census Tract 83.52; San Diego County; California,988,153,107,153,106,449,397,53,149,60,52,13,13,0,0,39,0,9,14,06,073,008352
Census Tract 83.53; San Diego County; California,1575,161,82,284,324,899,749,27,251,236,150,0,0,0,0,150,0,104,0,06,073,008353
Census Tract 83.55; San Diego County; California,894,104,79,225,156,512,410,23,147,64,102,62,0,6,4,40,0,0,10,06,073,008355
Census Tract 83.56; San Diego County; California,1418,165,264,99,161,950,906,106,387,239,44,0,0,0,0,44,0,6,19,06,073,008356
Census Tract 83.57; San Diego County; California,1450,268,169,144,141,690,525,27,134,112,165,121,14,26,30,44,0,22,22,06,073,008357
Census Tract 83.58; San Diego County; California,2137,343,293,189,343,979,921,76,354,356,58,0,0,0,0,58,0,13,34,06,073,008358
Census Tract 83.59; San Diego County; California,1814,132,89,104,135,671,492,8,174,61,179,82,0,49,33,97,0,12,34,06,073,008359
Census Tract 83.60; San Diego County; California,2420,254,95,310,260,1468,1312,47,573,280,156,52,36,0,0,104,0,24,48,06,073,008360
Census Tract 83.61; San Diego County; California,1397,95,65,282,64,208,158,14,38,42,50,8,0,0,8,42,0,42,0,06,073,008361
Census Tract 83.62; San Diego County; California,1544,133,211,187,271,658,367,32,92,51,291,208,0,23,185,83,0,22,43,06,073,008362
Census Tract 83.63; San Diego County; California,1919,178,84,49,59,400,348,14,101,55,52,9,0,0,9,43,0,28,15,06,073,008363
Census Tract 83.64; San Diego County; California,2481,342,214,365,115,371,311,0,60,86,60,0,0,0,0,60,0,20,40,06,073,008364
Census Tract 83.65; San Diego County; California,938,40,87,186,401,542,467,18,169,190,75,22,0,18,4,53,0,40,8,06,073,008365
Census Tract 83.66; San Diego County; California,2346,166,95,450,1059,1858,1708,61,811,560,150,50,0,0,50,100,0,30,51,06,073,008366
